SKU,Date,Quantity,Expiration.Date
112991,2016-09-05,1664,2017-03-23
114511,2016-09-05,0.083333,2017-03-01
114511,2016-09-05,5398,2017-04-02
114511,2016-09-05,1044,2017-04-03
114511,2016-09-05,12,2017-04-09
1053009,2016-09-05,207,2017-10-27
1053009,2016-09-05,269,2017-10-30
1053010,2016-09-05,1,2017-10-20
1053010,2016-09-05,291,2017-10-30
1053011,2016-09-05,819,2017-10-30
1053011,2016-09-05,568,2017-11-19
1057371,2016-09-05,546,2019-04-06
1057371,2016-09-05,1492,2019-07-25
1063485,2016-09-05,1,2018-01-17
1063485,2016-09-05,838,2018-01-28
1063486,2016-09-05,1,2018-01-01
1063486,2016-09-05,903,2018-01-28
1063488,2016-09-05,1,2018-01-03
1063488,2016-09-05,980,2018-01-18
1063491,2016-09-05,541,2018-01-16
1063491,2016-09-05,1031.45833333333,2018-02-24
1063581,2016-09-05,556.075,2017-08-23
1063647,2016-09-05,12,2017-06-13
1064002,2016-09-05,25,2017-12-05
1064002,2016-09-05,866,2018-01-29
1064003,2016-09-05,457,2018-01-29
1064023,2016-09-05,48,2017-05-13
1064023,2016-09-05,583.925,2017-09-05
1064678,2016-09-05,449,2017-09-17
1064727,2016-09-05,1786,2017-04-25
1064935,2016-09-05,504,2017-10-22
1064936,2016-09-05,1048,2018-02-06
1064975,2016-09-05,889,2018-01-27
1064975,2016-09-05,1225,2018-02-03
1064975,2016-09-05,1462,2018-02-13
1064975,2016-09-05,1192,2018-02-14
1064975,2016-09-05,1209,2018-02-15
1064975,2016-09-05,925,2018-02-16
1064975,2016-09-05,2133,2018-02-17
1064975,2016-09-05,1590.5,2018-02-18
1064984,2016-09-05,1124,2018-02-18
1064984,2016-09-05,808,2018-02-19
1064984,2016-09-05,2662,2018-02-22
1064984,2016-09-05,1851,2018-02-23
1064986,2016-09-05,619,2018-02-04
1064986,2016-09-05,2070,2018-02-05
1064986,2016-09-05,100,2018-02-06
1065037,2016-09-05,342,2019-05-13
1065201,2016-09-05,523,2018-01-17
1065201,2016-09-05,206,2018-01-18
1065202,2016-09-05,506,2018-01-16
1065202,2016-09-05,577,2018-02-24
1065315,2016-09-05,7,2018-01-28
1065315,2016-09-05,561,2018-02-10
1065315,2016-09-05,2013,2018-02-11
1065315,2016-09-05,1855,2018-02-12
1065315,2016-09-05,320,2018-02-13
1065316,2016-09-05,105,2018-01-13
1065316,2016-09-05,324,2018-02-11
1065316,2016-09-05,901,2018-02-12
1065316,2016-09-05,1893,2018-02-13
1065316,2016-09-05,1092,2018-02-14
1065316,2016-09-05,226,2018-02-16
1065316,2016-09-05,907,2018-02-17
1065317,2016-09-05,721,2018-02-03
1065317,2016-09-05,1083,2018-02-04
1065318,2016-09-05,327,2018-01-06
1065318,2016-09-05,212,2018-02-04
1065318,2016-09-05,875,2018-02-05
1065318,2016-09-05,1081,2018-02-06
10332315,2016-09-05,1,2017-04-20
