"","SKU","Description","Date","Quantity","Expiration.Date","Days.To.Expiry","Status"
"601",10341430,"ANC FAMILY MILK 12X655G+45G",2016-09-01,263,2018-01-03,489,"Fresh"
"602",10341430,"ANC FAMILY MILK 12X655G+45G",2016-09-01,1245,2018-01-20,506,"Fresh"
"603",10341430,"ANC FAMILY MILK 12X655G+45G",2016-09-01,224,2018-02-01,518,"Fresh"
"604",10341430,"ANC FAMILY MILK 12X655G+45G",2016-09-01,1587,2018-02-02,519,"Fresh"
"616",10343521,"ANL GOLD CHOC 12X980G AT P499",2016-09-01,1,2018-01-15,501,"Fresh"
"628",10343543,"ANL GOLD CHOC 24X300G",2016-09-01,1106,2018-01-06,492,"Fresh"
"631",10343543,"ANL GOLD CHOC 24X300G",2016-09-01,505,2018-02-06,523,"Fresh"
"632",10343543,"ANL GOLD CHOC 24X300G",2016-09-01,482,2018-02-24,541,"Fresh"
"654",10343544,"ANL GOLD PLAIN 24X300G",2016-09-01,28,2018-01-11,497,"Fresh"
"655",10343544,"ANL GOLD PLAIN 24X300G",2016-09-01,833,2018-01-26,512,"Fresh"
"656",10343544,"ANL GOLD PLAIN 24X300G",2016-09-01,664.5,2018-02-18,535,"Fresh"
"682",10351199,"ANM CHOC 4X3 800G SUYSING",2016-09-01,6,2017-08-18,351,"Fresh"
"688",10351200,"ANM PLAIN 4X3 800G SUYSING",2016-09-01,4,2017-08-12,345,"Fresh"
"689",10351200,"ANM PLAIN 4X3 800G SUYSING",2016-09-01,3,2017-09-09,373,"Fresh"
"693",10354033,"ANM PLAIN 6X4X180G SUYSING",2016-09-01,1,2017-12-15,470,"Fresh"
"699",10354037,"ANM CHOC 6X4X180G SUYSING",2016-09-01,4,2017-12-22,477,"Fresh"
"869",112991,"ANCHOR UHT LITE 12X1L NEW",2016-09-02,338,2017-02-24,175,"Fresh"
"870",112991,"ANCHOR UHT LITE 12X1L NEW",2016-09-02,4684,2017-03-02,181,"Fresh"
"871",112991,"ANCHOR UHT LITE 12X1L NEW",2016-09-02,220,2017-03-03,182,"Fresh"
"872",112991,"ANCHOR UHT LITE 12X1L NEW",2016-09-02,509,2017-03-08,187,"Fresh"
"891",114511,"UHT MLK ANC FBNZ 12x1LTR (NEW)",2016-09-02,14,2017-02-28,179,"Fresh"
"892",114511,"UHT MLK ANC FBNZ 12x1LTR (NEW)",2016-09-02,7.41666666666667,2017-03-01,180,"Fresh"
"893",114511,"UHT MLK ANC FBNZ 12x1LTR (NEW)",2016-09-02,1487,2017-04-02,212,"Fresh"
"896",114511,"UHT MLK ANC FBNZ 12x1LTR (NEW)",2016-09-02,12,2017-04-09,219,"Fresh"
"939",1053009,"Anchor FCMP 24x150g",2016-09-02,210,2017-10-27,420,"Fresh"
"940",1053009,"Anchor FCMP 24x150g",2016-09-02,269,2017-10-30,423,"Fresh"
"945",1053010,"ANCHOR FCMP 24 X 350G",2016-09-02,1,2017-10-20,413,"Fresh"
"946",1053010,"ANCHOR FCMP 24 X 350G",2016-09-02,299,2017-10-30,423,"Fresh"
"957",1053011,"ANCHOR FCMP 12 X700G",2016-09-02,839,2017-10-30,423,"Fresh"
"958",1053011,"ANCHOR FCMP 12 X700G",2016-09-02,568,2017-11-19,443,"Fresh"
"969",1057371,"ANCHOR FCMP 6X1.8kg (Phillipines)",2016-09-02,553,2019-04-06,946,"Fresh"
"970",1057371,"ANCHOR FCMP 6X1.8kg (Phillipines)",2016-09-02,1492,2019-07-25,1056,"Fresh"
"991",1063485,"ANMUM MATERNA PLAIN 24X180G (LEDA)",2016-09-02,851,2018-01-28,513,"Fresh"
"1002",1063486,"ANMUM MAT CHOC 24x180G LEDA",2016-09-02,925,2018-01-28,513,"Fresh"
"1014",1063488,"ANMUM MATERNA PLAIN 24X375G (LEDA)",2016-09-02,1,2018-01-03,488,"Fresh"
"1015",1063488,"ANMUM MATERNA PLAIN 24X375G (LEDA)",2016-09-02,987,2018-01-18,503,"Fresh"
"1026",1063491,"ANMUM CHOC 24X375G",2016-09-02,552,2018-01-16,501,"Fresh"
"1027",1063491,"ANMUM CHOC 24X375G",2016-09-02,725,2018-02-24,540,"Fresh"
"1037",1063581,"ANMUM CHOCO 80X46G",2016-09-02,556.075,2017-08-23,355,"Fresh"
"1047",1063645,"ANMUM MATERNA 24X375G",2016-09-02,2,2017-12-04,458,"Fresh"
"1051",1063647,"ANMUM MATERNA CHOCO 24X375G",2016-09-02,12,2017-06-13,284,"Fresh"
"1055",1064002,"ANMUM VANILLA MANGO 24X180G",2016-09-02,30,2017-12-05,459,"Fresh"
"1056",1064002,"ANMUM VANILLA MANGO 24X180G",2016-09-02,866,2018-01-29,514,"Fresh"
"1061",1064003,"ANMUM VANILLA MANGO 24X375G",2016-09-02,462,2018-01-29,514,"Fresh"
"1065",1064023,"ANMUM VANILLA MANGO 80X37.5 G",2016-09-02,48,2017-05-13,253,"Fresh"
"1066",1064023,"ANMUM VANILLA MANGO 80X37.5 G",2016-09-02,583.925,2017-09-05,368,"Fresh"
"1069",1064678,"ANCHOR ADULT 36X180G",2016-09-02,457,2017-09-17,380,"Fresh"
"1077",1064727,"ANLENE CONCENTRATCHOC-PH 48X110ML NEW",2016-09-02,1871,2017-04-25,235,"Fresh"
"1080",1064935,"ANCHOR FAMILY MILK CHOC 32X150G",2016-09-02,506,2017-10-22,415,"Fresh"
"1089",1064936,"ANCHOR FAMILY MILK CHOC 12X700G",2016-09-02,1065,2018-02-06,522,"Fresh"
"1106",1064975,"ANLENE GOLD REFORM 12X600G",2016-09-02,1513,2018-02-03,519,"Fresh"
"1107",1064975,"ANLENE GOLD REFORM 12X600G",2016-09-02,2127,2018-02-13,529,"Fresh"
"1108",1064975,"ANLENE GOLD REFORM 12X600G",2016-09-02,1192,2018-02-14,530,"Fresh"
"1109",1064975,"ANLENE GOLD REFORM 12X600G",2016-09-02,1209,2018-02-15,531,"Fresh"
"1110",1064975,"ANLENE GOLD REFORM 12X600G",2016-09-02,925,2018-02-16,532,"Fresh"
"1111",1064975,"ANLENE GOLD REFORM 12X600G",2016-09-02,2133,2018-02-17,533,"Fresh"
"1112",1064975,"ANLENE GOLD REFORM 12X600G",2016-09-02,1591.5,2018-02-18,534,"Fresh"
"1146",1064984,"ANLENE GOLD NANOCAL 24X390G",2016-09-02,73,2018-01-26,511,"Fresh"
"1147",1064984,"ANLENE GOLD NANOCAL 24X390G",2016-09-02,1134,2018-02-18,534,"Fresh"
"1148",1064984,"ANLENE GOLD NANOCAL 24X390G",2016-09-02,808,2018-02-19,535,"Fresh"
"1149",1064984,"ANLENE GOLD NANOCAL 24X390G",2016-09-02,2662,2018-02-22,538,"Fresh"
"1150",1064984,"ANLENE GOLD NANOCAL 24X390G",2016-09-02,1851,2018-02-23,539,"Fresh"
"1181",1064986,"ANLENE GOLD CHOCOLATE 24X385G",2016-09-02,658,2018-02-04,520,"Fresh"
"1182",1064986,"ANLENE GOLD CHOCOLATE 24X385G",2016-09-02,2070,2018-02-05,521,"Fresh"
"1183",1064986,"ANLENE GOLD CHOCOLATE 24X385G",2016-09-02,100,2018-02-06,522,"Fresh"
"1196",1065037,"ANCHOR 6X2.5KG(PH) CAN",2016-09-02,349,2019-05-13,983,"Fresh"
"1204",1065201,"ANMUM MATERNA PLAIN 12X800G",2016-09-02,539,2018-01-17,502,"Fresh"
"1205",1065201,"ANMUM MATERNA PLAIN 12X800G",2016-09-02,204,2018-01-18,503,"Fresh"
"1214",1065202,"ANMUM MATERNA CHOCO 12X800G",2016-09-02,530,2018-01-16,501,"Fresh"
"1215",1065202,"ANMUM MATERNA CHOCO 12X800G",2016-09-02,577,2018-02-24,540,"Fresh"
"1225",1065315,"ANLENE GOLD 12X990G SUP",2016-09-02,1,2018-01-27,512,"Fresh"
"1226",1065315,"ANLENE GOLD 12X990G SUP",2016-09-02,96,2018-01-28,513,"Fresh"
"1227",1065315,"ANLENE GOLD 12X990G SUP",2016-09-02,561,2018-02-10,526,"Fresh"
"1228",1065315,"ANLENE GOLD 12X990G SUP",2016-09-02,1934,2018-02-11,527,"Fresh"
"1229",1065315,"ANLENE GOLD 12X990G SUP",2016-09-02,1855,2018-02-12,528,"Fresh"
"1230",1065315,"ANLENE GOLD 12X990G SUP",2016-09-02,320,2018-02-13,529,"Fresh"
"1276",1065316,"ANLENE GOLD 24X180G SUP",2016-09-02,452,2018-02-11,527,"Fresh"
"1277",1065316,"ANLENE GOLD 24X180G SUP",2016-09-02,901,2018-02-12,528,"Fresh"
"1278",1065316,"ANLENE GOLD 24X180G SUP",2016-09-02,1998,2018-02-13,529,"Fresh"
"1279",1065316,"ANLENE GOLD 24X180G SUP",2016-09-02,1092,2018-02-14,530,"Fresh"
"1280",1065316,"ANLENE GOLD 24X180G SUP",2016-09-02,226,2018-02-16,532,"Fresh"
"1281",1065316,"ANLENE GOLD 24X180G SUP",2016-09-02,907,2018-02-17,533,"Fresh"
"1331",1065317,"ANLENE GOLD CHOC 12X980G SUP",2016-09-02,738,2018-02-03,519,"Fresh"
"1332",1065317,"ANLENE GOLD CHOC 12X980G SUP",2016-09-02,1083,2018-02-04,520,"Fresh"
"1348",1065318,"ANLENE GOLD CHOC 24X175G SUP",2016-09-02,342,2018-01-06,491,"Fresh"
